starting time minimum (h),starting time length (h),starting time probability,duration minimum (h),duration length (h),duration probability,consumption rate minimum (kW),consumption rate length (kW),consumption rate probability
0,24,0.012,0,7.75,0.55,0,30.617,0.134
,,0.008,,,0.24,,,0.204
,,0.005,,,0.102,,,0.16
,,0.004,,,0.053,,,0.099
,,0.002,,,0.019,,,0.068
,,0.006,,,0.018,,,0.052
,,0.017,,,0.01,,,0.041
,,0.052,,,0.005,,,0.031
,,0.088,,,0.002,,,0.026
,,0.075,,,0.001,,,0.024
,,0.068,,,0.001,,,0.021
,,0.059,,,0,,,0.021
,,0.065,,,0,,,0.021
,,0.075,,,0,,,0.017
,,0.072,,,0,,,0.017
,,0.067,,,0,,,0.014
,,0.057,,,0,,,0.012
,,0.053,,,0,,,0.009
,,0.047,,,0,,,0.008
,,0.05,,,0,,,0.006
,,0.047,,,0,,,0.003
,,0.034,,,0,,,0.003
,,0.021,,,0,,,0.002
,,0.015,,,0,,,0.002
,,,,,0,,,0.001
,,,,,0,,,0.001
,,,,,0,,,0.001
,,,,,0,,,0.001
,,,,,0,,,0.001
,,,,,0,,,0
,,,,,0,,,0.001
